Disease,CommonTestAndProcedure
Panic disorder,Psychotherapy
Panic disorder,Mental health counseling
Panic disorder,Electrocardiogram
Panic disorder,Depression screen (Depression screening)
Panic disorder,Toxicology screen
Panic disorder,Psychological and psychiatric evaluation and therapy
Panic disorder,Occupational therapy assessment (Speech therapy)
Vocal cord polyp,Tracheoscopy and laryngoscopy with biopsy
Vocal cord polyp,Occupational therapy assessment (Speech therapy)
Vocal cord polyp,Other diagnostic procedures (interview; evaluation; consultation)
Vocal cord polyp,Physical therapy exercises (Exercises)
Vocal cord polyp,Diagnostic procedures on nose; mouth and pharynx
Vocal cord polyp,Other physical therapy and rehabilitation
Vocal cord polyp,Ophthalmologic and otologic diagnosis and treatment
Vocal cord polyp,Other diagnostic procedures of respiratory tract and mediastinum
Turner syndrome,Complete physical skin exam performed (ML)
Turner syndrome,Ultrasonography (Ultrasound)
Turner syndrome,Other diagnostic procedures (interview; evaluation; consultation)
Turner syndrome,Echocardiography
Turner syndrome,Depression screen (Depression screening)
Turner syndrome,Examination of breast
Turner syndrome,Ophthalmologic and otologic diagnosis and treatment
Turner syndrome,Corneal transplant
Cryptorchidism,Complete physical skin exam performed (ML)
Cryptorchidism,Ultrasonography (Ultrasound)
Cryptorchidism,Pelvis exam
Cryptorchidism,Rectal examination
Cryptorchidism,Other OR therapeutic procedures; male genital
Cryptorchidism,Other OR therapeutic nervous system procedures
Cryptorchidism,Occupational therapy assessment (Speech therapy)
Cryptorchidism,Ophthalmic examination and evaluation (Eye exam)
Poisoning due to ethylene glycol,Intravenous fluid replacement
Poisoning due to ethylene glycol,Hematologic tests (Blood test)
Poisoning due to ethylene glycol,Toxicology screen
Poisoning due to ethylene glycol,Complete blood count (Cbc)
Poisoning due to ethylene glycol,Electrocardiogram
Poisoning due to ethylene glycol,Glucose measurement (Glucose level)
Poisoning due to ethylene glycol,Blood alcohol
Poisoning due to ethylene glycol,Kidney function tests (Kidney function test)
Atrophic vaginitis,Pelvis exam
Atrophic vaginitis,Examination of breast
Atrophic vaginitis,Urinalysis
Atrophic vaginitis,Mammography (Mammogram)
Atrophic vaginitis,Rectal examination
Atrophic vaginitis,Complete physical skin exam performed (ML)
Atrophic vaginitis,Pap smear
