Disease,CommonTestAndProcedure
Intestinal obstruction,Radiographic imaging procedure
Intestinal obstruction,Hematologic tests (Blood test)
Intestinal obstruction,Complete blood count (Cbc)
Intestinal obstruction,Urinalysis
Intestinal obstruction,Plain x-ray (X ray)
Intestinal obstruction,Intravenous fluid replacement
Intestinal obstruction,Kidney function tests (Kidney function test)
Intestinal obstruction,Electrolytes panel
Heart contusion,Radiographic imaging procedure
Heart contusion,Plain x-ray (X ray)
Heart contusion,Wound care management
Heart contusion,X-ray computed tomography (Scan ct)
Heart contusion,Intravenous fluid replacement
Heart contusion,Cardiopulmonary resuscitation (Cpr)
Heart contusion,CAT scan of head (Head ct)
Heart contusion,Cardiac enzymes measurement (Cardiac enzymes test)
Congenital malformation syndrome,Complete physical skin exam performed (ML)
Congenital malformation syndrome,Other diagnostic procedures (interview; evaluation; consultation)
Congenital malformation syndrome,Occupational therapy assessment (Speech therapy)
Congenital malformation syndrome,Physical therapy exercises (Exercises)
Congenital malformation syndrome,Examination of foot
Congenital malformation syndrome,Other therapeutic ear procedures
Congenital malformation syndrome,Psychological and psychiatric evaluation and therapy
Congenital malformation syndrome,Ophthalmologic and otologic diagnosis and treatment
Sporotrichosis,Bone density scan
Sporotrichosis,Complete physical skin exam performed (ML)
Sporotrichosis,Complete blood count (Cbc)
Sporotrichosis,Radiographic imaging procedure
Sporotrichosis,Hematologic tests (Blood test)
Sporotrichosis,Corneal transplant
Sporotrichosis,Transurethral resection of prostate (TURP) (Turp)
Sporotrichosis,Coronary thrombolysis
Lymphangitis,Complete blood count (Cbc)
Lymphangitis,Hematologic tests (Blood test)
Lymphangitis,Intravenous fluid replacement
Lymphangitis,Wound care management
Lymphangitis,Blood culture
Lymphangitis,Culture wound
Lymphangitis,Incision and drainage (I d)
Lymphangitis,Examination of foot
Wernicke Korsakoff syndrome,Complete blood count (Cbc)
Wernicke Korsakoff syndrome,Hematologic tests (Blood test)
Wernicke Korsakoff syndrome,Urinalysis
Wernicke Korsakoff syndrome,Electrolytes panel
Wernicke Korsakoff syndrome,Kidney function tests (Kidney function test)
Wernicke Korsakoff syndrome,Intravenous fluid replacement
Wernicke Korsakoff syndrome,Glucose measurement (Glucose level)
Wernicke Korsakoff syndrome,Blood alcohol
Intestinal disease,Hematologic tests (Blood test)
Intestinal disease,Complete blood count (Cbc)
Intestinal disease,Radiographic imaging procedure
Intestinal disease,X-ray computed tomography (Scan ct)
Intestinal disease,Intravenous fluid replacement
Intestinal disease,Urinalysis
Intestinal disease,Glucose measurement (Glucose level)
Intestinal disease,Plain x-ray (X ray)
Acute bronchitis,Radiographic imaging procedure
Acute bronchitis,Plain x-ray (X ray)
Acute bronchitis,Nebulizer therapy
Acute bronchitis,Kidney function tests (Kidney function test)
Acute bronchitis,Electrocardiogram
Acute bronchitis,Cardiac enzymes measurement (Cardiac enzymes test)
Acute bronchitis,Cardiac monitoring (Cardiac monitor)
Acute bronchitis,Blood culture
Persistent vomiting of unknown cause,Hematologic tests (Blood test)
Persistent vomiting of unknown cause,Intravenous fluid replacement
Persistent vomiting of unknown cause,Complete blood count (Cbc)
Persistent vomiting of unknown cause,Urinalysis
Persistent vomiting of unknown cause,Electrolytes panel
Persistent vomiting of unknown cause,Glucose measurement (Glucose level)
Persistent vomiting of unknown cause,Kidney function tests (Kidney function test)
Persistent vomiting of unknown cause,Radiographic imaging procedure
Open wound of the foot,Wound care management
Open wound of the foot,Plain x-ray (X ray)
Open wound of the foot,Complete physical skin exam performed (ML)
Open wound of the foot,Suturing of wound
Open wound of the foot,Examination of foot
Open wound of the foot,Application of splint (Splinting)
Open wound of the foot,Excision (Removal)
Open wound of the foot,Referral to home health care service
Myocarditis,Radiographic imaging procedure
Myocarditis,Hematologic tests (Blood test)
Myocarditis,Complete blood count (Cbc)
Myocarditis,Electrocardiogram
Myocarditis,Plain x-ray (X ray)
Myocarditis,Echocardiography
Myocarditis,Ultrasonography (Ultrasound)
Myocarditis,Cardiac monitoring (Cardiac monitor)
Preeclampsia,Urinalysis
Preeclampsia,Hematologic tests (Blood test)
Preeclampsia,Ultrasonography (Ultrasound)
Preeclampsia,Pelvis exam
Preeclampsia,Glucose measurement (Glucose level)
Preeclampsia,Electrolytes panel
