Disease,Desciption
Panic disorder,Panic disorder Panic disorder is an anxiety disorder characterized by recurring severe panic attacks. It may also include significant behavioral changes lasting at least a month and of ongoing worry about the implications or concern about having other attacks. The latter are called anticipatory attacks (DSM-IVR). Panic disorder is not the same as agoraphobia (fear of public places)
Vocal cord polyp,None
Turner syndrome,Turner syndrome Also known as Gonadal Dysgenesis
Cryptorchidism,Cryptorchidism Also known as Undescended Testes
Poisoning due to ethylene glycol,None
Atrophic vaginitis,Atrophic vaginitis Atrophic vaginitis (also known as vaginal atrophy or urogenital atrophy) is an inflammation of the vagina (and the outer urinary tract) due to the thinning and shrinking of the tissues
Fracture of the hand,None
Cellulitis or abscess of mouth,None
Eye alignment disorder,Eye alignment disorder When you look at an object
Headache after lumbar puncture,Headache after lumbar puncture Also known as Spinal Headache
Pyloric stenosis,Pyloric stenosis Also known as Gastric Outlet Obstruction
Salivary gland disorder,Salivary gland disorder Also known as Salivary Gland Disease The salivary glands in mammals are exocrine glands
Osteochondrosis,Osteochondrosis Osteochondrosis is a family of orthopedic diseases of the joint that occur in children and adolescents and in rapidly growing animals
Injury to the knee,Injury to the knee Also known as Knee Injury Injuries to the knee or the knee joint. Source: MeSH
Metabolic disorder,Metabolic disorder Inborn errors of metabolism comprise a large class of genetic diseases involving disorders of metabolism. The majority are due to defects of single genes that code for enzymes that facilitate conversion of various substances (substrates) into others (products). In most of the disorders
Vaginitis,Vaginitis Also known as Vagina Inflammation Vaginitis is an inflammation of the vagina. It can result in discharge
Sick sinus syndrome,Sick sinus syndrome Sick sinus syndrome (SSS)
Tinnitus of unknown cause,Tinnitus of unknown cause Do you hear a ringing
Glaucoma,"Glaucoma Glaucoma is a term describing a group of ocular disorders with multi-factorial etiology united by a clinically characteristic intraocular pressure-associated optic neuropathy. This can permanently damage vision in the affected eye(s) and lead to blindness if left untreated. It is normally associated with increased fluid pressure in the eye (aqueous humour). The term ""ocular hypertension"" is used for people with consistently raised intraocular pressure (IOP) without any associated optic nerve damage. Conversely"
Eating disorder,Eating disorder Eating disorders are conditions defined by abnormal eating habits that may involve either insufficient or excessive food intake to the detriment of an individual's physical and mental health. Bulimia nervosa and anorexia nervosa are the most common specific forms in the United Kingdom. Other types of eating disorders include binge eating disorder and eating disorder not otherwise specified. Bulimia nervosa is a disorder characterized by binge eating and purging. Purging can include self-induce vomiting
Transient ischemic attack,Transient ischemic attack Also known as TIA A transient ischemic attack (TIA) is a transient episode of neurologic dysfunction caused by ischemia (loss of blood flow)  either focal brain
Pyelonephritis,Pyelonephritis Also known as Bacterial Infection Of The Kidney Pyelonephritis (from Greek À®»·¾  pyelum
Rotator cuff injury,Rotator cuff injury Also known as Rotator Cuff Tear and Rotator Cuff Rupture A rotator cuff tear is a tear of one or more of the tendons of the four rotator cuff muscles. A rotator cuff injury can include any type of irritation or damage to the rotator cuff muscles or tendons. Source: Wikipedia
Chronic pain disorder,Chronic pain disorder Also known as Pain Syndrome and Pain Disorder Pain disorder is chronic pain experienced by a patient in one or more areas
Problem during pregnancy,None
Liver cancer,Liver cancer Also known as Cancer Of The Liver
Atelectasis,Atelectasis Atelectasis (from Greek: Äµ»®Â
Injury to the hand,Injury to the hand Also known as Hand injury The hand is a very complex organ with multiple joints
Choledocholithiasis,Choledocholithiasis A gallstone is a crystalline concretion formed within the gallbladder by accretion of bile components. These calculi are formed in the gallbladder but may distally pass into other parts of the biliary tract such as the cystic duct
Injury to the hip,Injury to the hip Also known as Hip Injury General or unspecified injuries involving the hip. Source: MeSH
Cirrhosis,Cirrhosis Also known as Liver Cirrhosis
Thoracic aortic aneurysm,Thoracic aortic aneurysm A thoracic aortic aneurysm is an aortic aneurysm that presents primarily in the thorax. Source: Wikipedia
Subdural hemorrhage,Subdural hemorrhage Also known as Subdural Hematoma A subdural hematoma (American spelling) or subdural haematoma (British spelling)
Congenital rubella,Congenital rubella Congenital rubella syndrome (CRS) can occur in a developing fetus of a pregnant woman who has contracted rubella during her first trimester. If infection occurs 0 28 days before conception
Diabetic retinopathy,Diabetic retinopathy Diabetic retinopathy
Fibromyalgia,Fibromyalgia Also known as Fibromyalgia Syndrome
Ischemia of the bowel,None
Fetal alcohol syndrome,Fetal alcohol syndrome Fetal alcohol syndrome (FAS) is a pattern of mental and physical defects that can develop in a fetus in association with high levels of alcohol consumption during pregnancy. Alcohol crosses the placental barrier and can stunt fetal growth or weight
Peritonitis,Peritonitis Peritonitis is an inflammation of the peritoneum
Injury to the abdomen,None
Acute pancreatitis,Acute pancreatitis Acute pancreatitis or acute pancreatic necrosis is a sudden inflammation of the pancreas. It can have severe complications and high mortality despite treatment. While mild cases are often successfully treated with conservative measures
Thrombophlebitis,Thrombophlebitis Thrombophlebitis is phlebitis (vein inflammation) related to a thrombus (blood clot). When it occurs repeatedly in different locations
Asthma,Asthma Also known as Bronchial Asthma Asthma (from the Greek Ã¸¼±
Foreign body in the vagina,None
Restless leg syndrome,Restless leg syndrome Also known as Ekbom Syndrome Restless Legs Syndrome (RLS)
Emphysema,Emphysema Also known as Lung Emphysema and Pulmonary Emphysema Emphysema is a long-term lung disease. In people with emphysema
Cysticercosis,Cysticercosis Cysticercosis refers to tissue infection after exposure to eggs of Taenia solium
Induced abortion,Induced abortion Abortion is the termination of pregnancy by the removal or expulsion from the uterus of a fetus or embryo prior to viability. An abortion can occur spontaneously
Teething syndrome,None
Infectious gastroenteritis,"Infectious gastroenteritis Also known as Stomach Flu and Gastric Flu Gastroenteritis is a medical condition characterized by inflammation (""-itis"") of the gastrointestinal tract that involves both the stomach (""gastro""-) and the small intestine (""entero""-)"
Acute sinusitis,Acute sinusitis Sinusitis or rhinosinusitis is inflammation of the paranasal sinuses. It can be due to infection
Von Hippel-Lindau disease,Von Hippel-Lindau disease Von Hippel Lindau (VHL) disease is a rare
Substance-related mental disorder,None
Postpartum depression,Postpartum depression Also known as Postnatal Depression
Coronary atherosclerosis,Coronary atherosclerosis Atherosclerosis (also known as arteriosclerotic vascular disease or ASVD) is a condition in which an artery wall thickens as a result of the accumulation of fatty materials such as cholesterol and triglyceride. It is a syndrome affecting arterial blood vessels
Spondylitis, contractures,Spondylitis,Spondylitis Also known as Inflammation Of The Vertebra Spondylitis is an inflammation of the vertebra. It is a form of spondylopathy. In many cases spondylitis involves one or more vertebral joints as well
