Disease,Medication
Panic disorder,Lorazepam
Panic disorder,Alprazolam (Xanax)
Panic disorder,Clonazepam
Panic disorder,Paroxetine (Paxil)
Panic disorder,Venlafaxine (Effexor)
Panic disorder,Mirtazapine
Panic disorder,Buspirone (Buspar)
Panic disorder,Fluvoxamine (Luvox)
Panic disorder,Imipramine
Panic disorder,Desvenlafaxine (Pristiq)
Panic disorder,Clomipramine
Panic disorder,Acamprosate (Campral)
Panic disorder,Disulfiram (Antabuse)
Vocal cord polyp,Esomeprazole (Nexium)
Vocal cord polyp,Beclomethasone Nasal Product
Vocal cord polyp,Nicotine
Vocal cord polyp,Azelastine Nasal
Vocal cord polyp,Phenylephrine (Duramax)
Vocal cord polyp,Rabeprazole (Aciphex)
Vocal cord polyp,Vinorelbine (Navelbine)
Vocal cord polyp,Vitamin A
Vocal cord polyp,Adalimumab (Humira)
Vocal cord polyp,Rituximab
Vocal cord polyp,Aprepitant (Emend)
Turner syndrome,Somatropin
Turner syndrome,Sulfamethoxazole (Bactrim)
Turner syndrome,Pimecrolimus Topical
Turner syndrome,Hyoscyamine (A-Spas)
Turner syndrome,Ortho Cyclen
Turner syndrome,Carbamazepine
Turner syndrome,Ascorbic Acid
Turner syndrome,Nystatin Topical Product
Turner syndrome,Phenazopyridine (Azo)
Turner syndrome,Nifedipine
Turner syndrome,Levetiracetam (Keppra)
Cryptorchidism,Haemophilus B Conjugate Vaccine (Obsolete)
Cryptorchidism,Hepatitis B Vaccine (Obsolete)
Cryptorchidism,Rotavirus Vaccines (Rotavirus Vaccine)
Cryptorchidism,Desoximetasone Topical
Cryptorchidism,Petrolatum Topical
Poisoning due to ethylene glycol,Lorazepam
Poisoning due to ethylene glycol,Thiamine
Poisoning due to ethylene glycol,Naloxone (Suboxone)
Poisoning due to ethylene glycol,Charcoal
Poisoning due to ethylene glycol,Folic Acid
Poisoning due to ethylene glycol,Famotidine
Poisoning due to ethylene glycol,Haloperidol
Poisoning due to ethylene glycol,Acetylcysteine
Poisoning due to ethylene glycol,Trimethobenzamide (Tigan)
Poisoning due to ethylene glycol,Magnesium Sulfate
Poisoning due to ethylene glycol,Olanzapine (Zyprexa)
Poisoning due to ethylene glycol,Phenytoin (Dilantin)
Atrophic vaginitis,Estroge
Atrophic vaginitis,Estradiol
Atrophic vaginitis,Nitrofurantoin
Atrophic vaginitis,Raloxifene (Evista)
Atrophic vaginitis,Oxybutynin
Atrophic vaginitis,Tolterodine (Detrol)
Atrophic vaginitis,Progesterone
Atrophic vaginitis,Solifenacin (Vesicare)
Atrophic vaginitis,Risedronate (Actonel)
Atrophic vaginitis,Calcium Citrate
Atrophic vaginitis,Betamethasone-Clotrimazole Topical
Atrophic vaginitis,Psyllium
Fracture of the hand,Carteolol
Fracture of the hand,Disopyramide
Fracture of the hand,Magnesium Amino Acid Chelate
Cellulitis or abscess of mouth,Clindamycin
Cellulitis or abscess of mouth,Dexamethasone Topical Product
Cellulitis or abscess of mouth,Penicillin
Cellulitis or abscess of mouth,Rivastigmine (Exelon)
Cellulitis or abscess of mouth,Chlorhexidine Topical
Cellulitis or abscess of mouth,Petrolatum Topical
Cellulitis or abscess of mouth,Docosanol Topical
Cellulitis or abscess of mouth,Sertaconazole Topical
Cellulitis or abscess of mouth,Oxaprozin
Cellulitis or abscess of mouth,Hydrocortisone-Iodoquinol Topical
