Disease,Symptom
Panic disorder,Anxiety and nervousness
Panic disorder,Depression
Panic disorder,Shortness of breath
Panic disorder,Depressive or psychotic symptoms
Panic disorder,Sharp chest pain
Panic disorder,Dizziness
Panic disorder,Insomnia
Panic disorder,Abnormal involuntary movements
Panic disorder,Chest tightness
Panic disorder,Palpitations
Panic disorder,Irregular heartbeat
Panic disorder,Breathing fast
Vocal cord polyp,Hoarse voice
Vocal cord polyp,Sore throat
Vocal cord polyp,Difficulty speaking
Vocal cord polyp,Cough
Vocal cord polyp,Nasal congestion
Vocal cord polyp,Throat swelling
Vocal cord polyp,Diminished hearing
Vocal cord polyp,Lump in throat
Vocal cord polyp,Throat feels tight
Vocal cord polyp,Difficulty in swallowing
Vocal cord polyp,Skin swelling
Vocal cord polyp,Retention of urine
Turner syndrome,Groin mass
Turner syndrome,Leg pain
Turner syndrome,Hip pain
Turner syndrome,Suprapubic pain
Turner syndrome,Blood in stool
Turner syndrome,Lack of growth
Turner syndrome,Diminished hearing
Turner syndrome,Depression
Turner syndrome,Emotional symptoms
Turner syndrome,Elbow weakness
Turner syndrome,Back weakness
Turner syndrome,Pus in sputum
Cryptorchidism,Symptoms of the scrotum and testes
Cryptorchidism,Swelling of scrotum
Cryptorchidism,Pain in testicles
Cryptorchidism,Flatulence
Cryptorchidism,Pus draining from ear
Cryptorchidism,Jaundice
Cryptorchidism,Mass in scrotum
Cryptorchidism,Lack of growth
Cryptorchidism,White discharge from eye
Cryptorchidism,Irritable infant
Poisoning due to ethylene glycol,Abusing alcohol
Poisoning due to ethylene glycol,Fainting
Poisoning due to ethylene glycol,Hostile behavior
Poisoning due to ethylene glycol,Drug abuse
Poisoning due to ethylene glycol,Depressive or psychotic symptoms
Poisoning due to ethylene glycol,Sharp abdominal pain
Poisoning due to ethylene glycol,Feeling ill
Poisoning due to ethylene glycol,Vomiting
Poisoning due to ethylene glycol,Headache
Poisoning due to ethylene glycol,Depression
Poisoning due to ethylene glycol,Nausea
Poisoning due to ethylene glycol,Diarrhea
Atrophic vaginitis,Vaginal itching
Atrophic vaginitis,Vaginal dryness
Atrophic vaginitis,Painful urination
Atrophic vaginitis,Involuntary urination
Atrophic vaginitis,Pain during intercourse
Atrophic vaginitis,Frequent urination
Atrophic vaginitis,Lower abdominal pain
Atrophic vaginitis,Suprapubic pain
Atrophic vaginitis,Vaginal discharge
Atrophic vaginitis,Blood in urine
Atrophic vaginitis,Hot flashes
Atrophic vaginitis,Intermenstrual bleeding
Fracture of the hand,Hand or finger pain
Fracture of the hand,Wrist pain
Fracture of the hand,Hand or finger swelling
Fracture of the hand,Arm pain
Fracture of the hand,Wrist swelling
Fracture of the hand,Arm stiffness or tightness
Fracture of the hand,Arm swelling
Fracture of the hand,Hand or finger stiffness or tightness
Fracture of the hand,Wrist stiffness or tightness
Cellulitis or abscess of mouth,Lip swelling
Cellulitis or abscess of mouth,Sore throat
Cellulitis or abscess of mouth,Toothache
Cellulitis or abscess of mouth,Abnormal appearing skin
Cellulitis or abscess of mouth,Skin lesion
Cellulitis or abscess of mouth,Difficulty in swallowing
Cellulitis or abscess of mouth,Acne or pimples
Cellulitis or abscess of mouth,Dry lips
Cellulitis or abscess of mouth,Facial pain
Cellulitis or abscess of mouth,Mouth ulcer
Cellulitis or abscess of mouth,Throat swelling
Cellulitis or abscess of mouth,Skin growth
Eye alignment disorder,Eye deviation
Eye alignment disorder,Diminished vision
Eye alignment disorder,Double vision
Eye alignment disorder,Cross-eyed
Eye alignment disorder,Symptoms of eye
Eye alignment disorder,Pain in eye
Eye alignment disorder,Eye moves abnormally
Eye alignment disorder,Abnormal movement of eyelid
Eye alignment disorder,Foreign body sensation in eye
Eye alignment disorder,Lack of growth
Eye alignment disorder,Irregular appearing scalp
Eye alignment disorder,Swollen lymph nodes
Headache after lumbar puncture,Headache
Headache after lumbar puncture,Nausea
Headache after lumbar puncture,Back pain
Headache after lumbar puncture,Vomiting
Headache after lumbar puncture,Dizziness
Headache after lumbar puncture,Neck pain
Headache after lumbar puncture,Low back pain
Headache after lumbar puncture,Pain of the anus
Headache after lumbar puncture,Pain during pregnancy
Headache after lumbar puncture,Painful urination
Headache after lumbar puncture,Pelvic pain
Headache after lumbar puncture,Impotence
Pyloric stenosis,Vomiting
Pyloric stenosis,Sharp abdominal pain
Pyloric stenosis,Infant spitting up
Pyloric stenosis,Vomiting blood
Pyloric stenosis,Cough
Pyloric stenosis,Arm stiffness or tightness
Pyloric stenosis,Regurgitation
Pyloric stenosis,Burning abdominal pain
Pyloric stenosis,Restlessness
Pyloric stenosis,Pain during pregnancy
Pyloric stenosis,Symptoms of infants
Pyloric stenosis,Wheezing
Salivary gland disorder,Sore throat
Salivary gland disorder,Peripheral edema
Salivary gland disorder,Neck mass
Salivary gland disorder,Ear pain
Salivary gland disorder,Swollen lymph nodes
Salivary gland disorder,Throat feels tight
Salivary gland disorder,Facial pain
Salivary gland disorder,Skin swelling
Salivary gland disorder,Jaw swelling
Salivary gland disorder,Cough
Salivary gland disorder,Mouth dryness
Salivary gland disorder,Neck swelling
Osteochondrosis,Knee pain
Osteochondrosis,Foot or toe pain
Osteochondrosis,Bowlegged or knock-kneed
Osteochondrosis,Ankle pain
Osteochondrosis,Bones are painful
Osteochondrosis,Knee weakness
Osteochondrosis,Hand or finger pain
